date,game_pk,home_team_name,away_team_name,market_favorite,market_favorite_fair_prob,n_books,model_predicted_winner,model_agrees_with_favorite
2026-07-25,823679,Minnesota Twins,Athletics,Minnesota Twins,0.572911279771986,9,Minnesota Twins,True
2026-07-25,824571,Chicago White Sox,Houston Astros,Chicago White Sox,0.5298650724095278,9,Houston Astros,False
2026-07-25,823758,Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,0.6767741295571148,9,Milwaukee Brewers,True
2026-07-25,823027,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,0.5025096389951784,9,Cincinnati Reds,False
2026-07-25,823600,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers,0.5855658473963137,9,Los Angeles Dodgers,True
2026-07-25,822869,Texas Rangers,Seattle Mariners,Seattle Mariners,0.5019777749024025,9,Seattle Mariners,True
2026-07-26,822950,Tampa Bay Rays,Cleveland Guardians,Tampa Bay Rays,0.5464015851811902,6,Tampa Bay Rays,True
2026-07-26,822706,Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,0.5134379709052498,9,Arizona Diamondbacks,True
2026-07-26,824810,Baltimore Orioles,Atlanta Braves,Atlanta Braves,0.5063223150139273,9,Atlanta Braves,True
2026-07-26,824730,Boston Red Sox,Toronto Blue Jays,Boston Red Sox,0.5671120211953632,9,Boston Red Sox,True
2026-07-26,823354,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,0.5418462610296796,9,Chicago Cubs,False
2026-07-26,824246,Detroit Tigers,Kansas City Royals,Detroit Tigers,0.628045466041883,9,Detroit Tigers,True
2026-07-26,823599,New York Mets,Los Angeles Dodgers,Los Angeles Dodgers,0.5753238046200186,9,Los Angeles Dodgers,True
2026-07-26,823840,Miami Marlins,San Diego Padres,Miami Marlins,0.5304170514103442,9,Miami Marlins,True
2026-07-26,823678,Minnesota Twins,Athletics,Minnesota Twins,0.5880370295299309,9,Minnesota Twins,True
2026-07-26,824572,Chicago White Sox,Houston Astros,Chicago White Sox,0.5084978429417596,9,Chicago White Sox,True
2026-07-26,823755,Milwaukee Brewers,Colorado Rockies,Milwaukee Brewers,0.7502579068443305,9,Milwaukee Brewers,True
2026-07-26,823028,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,0.5499373031238629,9,St. Louis Cardinals,True
2026-07-26,822870,Texas Rangers,Seattle Mariners,Texas Rangers,0.5050235046207407,9,Seattle Mariners,False
2026-07-26,823194,San Francisco Giants,Los Angeles Angels,Los Angeles Angels,0.505480453772883,9,Los Angeles Angels,True
2026-07-26,823433,Philadelphia Phillies,New York Yankees,Philadelphia Phillies,0.6315578225792451,9,Philadelphia Phillies,True
2026-08-01,822781,Toronto Blue Jays,St. Louis Cardinals,Toronto Blue Jays,0.5934596517342196,9,St. Louis Cardinals,False
2026-08-01,822944,Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays,0.6085968941690667,9,Tampa Bay Rays,True
2026-08-01,823594,New York Mets,Miami Marlins,New York Mets,0.5502402458576511,9,Miami Marlins,False
2026-08-01,823109,Seattle Mariners,Minnesota Twins,Seattle Mariners,0.6021277445114479,9,Seattle Mariners,True
2026-08-01,824485,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,0.5234649973025235,9,Pittsburgh Pirates,True
2026-08-01,824808,Baltimore Orioles,Philadelphia Phillies,Philadelphia Phillies,0.5683025730424595,9,Philadelphia Phillies,True
2026-08-01,824162,Houston Astros,Texas Rangers,Texas Rangers,0.5372211307444739,9,Texas Rangers,True
2026-08-01,824405,Cleveland Guardians,Arizona Diamondbacks,Cleveland Guardians,0.6141592794232837,9,Cleveland Guardians,True
2026-08-01,824890,Atlanta Braves,Washington Nationals,Atlanta Braves,0.6059764417715409,9,Atlanta Braves,True
2026-08-01,824649,Chicago Cubs,New York Yankees,Chicago Cubs,0.5182974264785601,9,New York Yankees,False
